company_id,year,free_cash_flow,cfo_quality_period,cfo_quality_5yr_avg,cfo_quality_label,capex_intensity_pct,capex_intensity_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label
ADANIENT,Mar 2023,2167.0,7.28,4.33,High,12.12,Capital Intensive,0.25,+,-,-,Shareholder Returns
ADANIENT,Mar 2024,-8455.0,3.09,3.67,High,19.46,Capital Intensive,-0.74,+,-,+,Mixed
ADANIGREEN,Mar 2017,-1483.0,,,,301.0,Capital Intensive,-3.68,+,-,+,Mixed
ADANIGREEN,Mar 2018,-3779.0,,,,299.19,Capital Intensive,-4.48,+,-,+,Mixed
ADANIGREEN,Mar 2019,-1041.0,,,,129.54,Capital Intensive,-0.68,+,-,+,Mixed
ADANIGREEN,Mar 2020,-1778.0,,,,146.84,Capital Intensive,-1.23,+,-,+,Mixed
ADANIGREEN,Mar 2021,-7536.0,8.8,8.8,High,292.48,Capital Intensive,-3.36,+,-,+,Mixed
ADANIGREEN,Mar 2022,-15603.0,6.39,7.6,High,364.89,Capital Intensive,-4.44,+,-,+,Mixed
ADANIGREEN,Mar 2023,3408.0,7.47,7.55,High,49.6,Capital Intensive,0.69,+,-,-,Shareholder Returns
ADANIGREEN,Mar 2024,-13347.0,6.12,7.2,High,228.42,Capital Intensive,-1.82,+,-,+,Mixed
ADANIPORTS,Mar 2013,-3757.0,0.84,0.84,Moderate,143.58,Capital Intensive,-1.58,+,-,+,Mixed
ADANIPORTS,Mar 2014,-1378.0,0.65,0.74,Moderate,51.97,Capital Intensive,-0.47,+,-,+,Mixed
ADANIPORTS,Mar 2015,572.0,1.32,0.94,Moderate,40.39,Capital Intensive,0.15,+,-,-,Reinvestor
ADANIPORTS,Mar 2016,-1772.0,0.83,0.91,Moderate,58.42,Capital Intensive,-0.39,+,-,+,Mixed
ADANIPORTS,Mar 2017,1434.0,1.04,0.94,Moderate,31.15,Capital Intensive,0.26,+,-,-,Reinvestor
ADANIPORTS,Mar 2018,1762.0,1.52,1.07,High,33.97,Capital Intensive,0.25,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2019,1661.0,1.49,1.24,High,39.98,Capital Intensive,0.25,+,-,+,Mixed
ADANIPORTS,Mar 2020,6653.0,1.96,1.37,High,6.31,Moderate,1.12,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2021,-6508.0,1.5,1.5,High,112.06,Capital Intensive,-0.75,+,-,+,Mixed
ADANIPORTS,Mar 2022,4927.0,2.1,1.71,High,32.09,Capital Intensive,0.52,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2023,-4816.0,2.21,1.85,High,80.16,Capital Intensive,-0.44,+,-,-,Shareholder Returns
ADANIPORTS,Mar 2024,8250.0,1.85,1.92,High,25.34,Capital Intensive,0.53,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2013,-1063.0,,,,60.73,Capital Intensive,-1.11,+,-,+,Mixed
ADANIPOWER,Mar 2014,-1462.0,,,,30.66,Capital Intensive,-0.32,+,-,+,Mixed
ADANIPOWER,Mar 2015,1087.0,,,,25.35,Capital Intensive,0.23,+,-,-,Reinvestor
ADANIPOWER,Mar 2016,2565.0,9.54,9.54,High,10.61,Capital Intensive,0.29,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2017,3513.0,,9.54,High,5.36,Moderate,0.59,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2018,4581.0,,9.54,High,2.56,Asset Light,0.84,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2019,4626.0,,9.54,High,4.12,Moderate,0.93,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2020,3294.0,,9.54,High,8.7,Capital Intensive,0.57,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2021,4826.0,5.52,5.52,High,8.34,Capital Intensive,0.56,+,-,-,Shareholder Returns
ADANIPOWER,Mar 2022,11007.0,2.08,3.8,High,2.79,Asset Light,1.11,+,+,-,Liquidating Assets
ADANIPOWER,Mar 2023,9976.0,0.79,2.8,High,3.98,Moderate,0.99,+,+,-,Liquidating Assets
ADANIPOWER,Mar 2024,17651.0,0.68,2.27,High,6.91,Moderate,0.97,+,+,-,Liquidating Assets
AMBUJACEM,Dec 2012,1472.0,1.44,1.44,High,3.98,Moderate,0.6,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2013,771.0,0.99,1.21,High,5.41,Moderate,0.46,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2014,1219.0,1.13,1.19,High,4.58,Moderate,0.63,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2015,1474.0,1.93,1.37,High,0.88,Asset Light,0.96,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2016,-1355.0,1.96,1.49,High,20.73,Capital Intensive,-0.43,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2017,2678.0,1.76,1.55,High,3.13,Moderate,0.69,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2018,938.0,0.57,1.47,High,2.94,Asset Light,0.23,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2019,3548.0,1.7,1.58,High,4.39,Moderate,0.77,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2020,3515.0,1.56,1.51,High,5.37,Moderate,0.7,+,-,-,Shareholder Returns
AMBUJACEM,Dec 2021,3302.0,1.43,1.4,High,6.93,Moderate,0.53,+,-,-,Shareholder Returns
AMBUJACEM,Mar 2023,-13746.0,,1.31,High,,,,+,-,+,Mixed
AMBUJACEM,Mar 2024,-3295.0,1.19,1.47,High,26.96,Capital Intensive,-0.51,+,-,+,Mixed
APOLLOHOSP,Mar 2013,-290.0,1.46,1.46,High,19.45,Capital Intensive,-0.47,+,-,+,Mixed
APOLLOHOSP,Mar 2014,17.0,1.18,1.32,High,8.17,Capital Intensive,0.03,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2015,-289.0,1.4,1.35,High,14.8,Capital Intensive,-0.39,+,-,+,Mixed
APOLLOHOSP,Mar 2016,-291.0,2.54,1.65,High,14.44,Capital Intensive,-0.43,+,-,+,Mixed
APOLLOHOSP,Mar 2017,-529.0,4.76,2.27,High,15.88,Capital Intensive,-0.72,+,-,+,Mixed
APOLLOHOSP,Mar 2018,132.0,8.95,3.77,High,4.91,Moderate,0.16,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2019,194.0,4.53,4.44,High,7.39,Moderate,0.18,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2020,1004.0,2.99,4.75,High,2.57,Asset Light,0.63,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2021,385.0,9.23,6.09,High,8.33,Capital Intensive,0.34,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2022,949.0,1.53,5.45,High,5.09,Moderate,0.43,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2023,520.0,1.63,3.98,High,5.16,Moderate,0.25,+,-,-,Shareholder Returns
APOLLOHOSP,Mar 2024,383.0,2.05,3.49,High,8.06,Capital Intensive,0.16,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2013,724.0,1.02,1.02,High,4.41,Moderate,0.42,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2014,816.0,1.11,1.06,High,4.8,Moderate,0.41,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2015,723.0,0.83,0.99,Moderate,3.42,Moderate,0.32,+,-,-,Reinvestor
ASIANPAINT,Mar 2016,1377.0,1.24,1.05,High,6.07,Moderate,0.51,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2017,846.0,0.76,0.99,Moderate,4.52,Moderate,0.28,+,-,-,Reinvestor
ASIANPAINT,Mar 2018,557.0,1.01,0.99,Moderate,9.25,Capital Intensive,0.17,+,-,-,Reinvestor
ASIANPAINT,Mar 2019,1552.0,1.12,0.99,Moderate,4.77,Moderate,0.41,+,-,-,Reinvestor
ASIANPAINT,Mar 2020,2520.0,1.1,1.05,High,2.56,Asset Light,0.61,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2021,3142.0,1.15,1.03,High,2.49,Asset Light,0.65,+,-,-,Shareholder Returns
ASIANPAINT,Mar 2022,669.0,0.32,0.94,Moderate,1.09,Asset Light,0.14,+,-,-,Reinvestor
ASIANPAINT,Mar 2023,2911.0,1.0,0.94,Moderate,3.72,Moderate,0.47,+,-,-,Reinvestor
ASIANPAINT,Mar 2024,3556.0,1.1,0.93,Moderate,7.18,Moderate,0.47,+,-,-,Reinvestor
AXISBANK,Mar 2013,-8366.0,0.5,0.5,Moderate,40.24,Capital Intensive,-1.01,+,-,+,Mixed
AXISBANK,Mar 2014,298.0,2.33,1.42,High,46.23,Capital Intensive,0.03,+,-,+,Mixed
AXISBANK,Mar 2015,-23134.0,-2.06,0.26,Accrual Risk,22.47,Capital Intensive,-2.08,-,-,+,Growth Funded by Debt
AXISBANK,Mar 2016,-25284.0,-4.19,-0.86,Accrual Risk,22.47,Capital Intensive,-1.89,-,+,+,Distress Signal
AXISBANK,Mar 2017,19751.0,8.75,1.07,High,27.97,Capital Intensive,0.83,+,-,-,Shareholder Returns
AXISBANK,Mar 2018,-48397.0,-139.09,-26.85,Accrual Risk,21.86,Capital Intensive,-1.67,-,-,+,Growth Funded by Debt
AXISBANK,Mar 2019,18451.0,7.94,-25.73,Accrual Risk,33.96,Capital Intensive,0.68,+,-,+,Mixed
AXISBANK,Mar 2020,20931.0,18.69,-21.58,Accrual Risk,15.14,Capital Intensive,0.6,+,-,+,Mixed
AXISBANK,Mar 2021,-41655.0,1.92,-20.36,Accrual Risk,85.7,Capital Intensive,-1.31,+,-,+,Mixed
AXISBANK,Mar 2022,1025.0,2.16,-21.68,Accrual Risk,40.24,Capital Intensive,0.03,+,-,+,Mixed
AXISBANK,Mar 2023,-10276.0,2.3,6.6,High,37.99,Capital Intensive,-0.35,+,-,+,Mixed
AXISBANK,Mar 2024,-14556.0,-0.22,4.97,High,8.23,Capital Intensive,-0.38,-,-,+,Growth Funded by Debt
BAJAJ-AUTO,Mar 2013,824.0,0.71,0.71,Moderate,6.96,Moderate,0.23,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2014,1430.0,1.04,0.88,Moderate,10.29,Capital Intensive,0.34,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2015,1734.0,0.7,0.82,Moderate,1.76,Asset Light,0.42,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2016,3622.0,0.91,0.84,Moderate,0.3,Asset Light,0.76,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2017,-343.0,0.8,0.83,Moderate,16.59,Capital Intensive,-0.08,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2018,2374.0,1.03,0.9,Moderate,7.75,Moderate,0.49,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2019,2214.0,0.5,0.79,Moderate,0.9,Asset Light,0.43,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2020,5616.0,0.74,0.8,Moderate,5.9,Moderate,1.1,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2021,251.0,0.64,0.74,Moderate,10.34,Capital Intensive,0.05,+,-,-,Reinvestor
BAJAJ-AUTO,Mar 2022,4473.0,0.68,0.72,Moderate,0.83,Asset Light,0.85,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2023,6488.0,0.87,0.69,Moderate,3.32,Moderate,1.0,+,+,-,Liquidating Assets
BAJAJ-AUTO,Mar 2024,6486.0,0.85,0.76,Moderate,0.16,Asset Light,0.74,+,-,-,Reinvestor
BAJAJFINSV,Mar 2013,-3969.0,-3.13,-3.13,Accrual Risk,36.66,Capital Intensive,-1.01,-,+,+,Distress Signal
BAJAJFINSV,Mar 2014,-6043.0,-4.48,-3.81,Accrual Risk,62.49,Capital Intensive,-1.35,-,+,+,Distress Signal
BAJAJFINSV,Mar 2015,-7022.0,-4.45,-4.02,Accrual Risk,32.72,Capital Intensive,-1.27,-,+,+,Distress Signal
BAJAJFINSV,Mar 2016,-10681.0,-3.53,-3.9,Accrual Risk,4.32,Moderate,-1.58,-,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2017,-10771.0,-3.17,-3.75,Accrual Risk,0.62,Asset Light,-1.24,-,+,+,Distress Signal
BAJAJFINSV,Mar 2018,-20502.0,-4.69,-4.06,Accrual Risk,2.81,Asset Light,-1.9,-,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2019,-33979.0,-5.04,-4.18,Accrual Risk,16.2,Capital Intensive,-2.26,-,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2020,-33317.0,-3.9,-4.07,Accrual Risk,18.3,Capital Intensive,-1.82,-,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2021,863.0,0.62,-3.24,Accrual Risk,6.08,Moderate,0.04,+,-,+,Mixed
BAJAJFINSV,Mar 2022,-32225.0,-4.05,-3.41,Accrual Risk,2.11,Asset Light,-1.5,-,+,+,Distress Signal
BAJAJFINSV,Mar 2023,-53425.0,-3.23,-3.12,Accrual Risk,16.99,Capital Intensive,-1.79,-,-,+,Growth Funded by Debt
BAJAJFINSV,Mar 2024,-79634.0,-4.4,-2.99,Accrual Risk,9.93,Capital Intensive,-1.95,-,-,+,Growth Funded by Debt
BAJAJHLDNG,Mar 2013,104.0,0.25,0.25,Accrual Risk,109.5,Capital Intensive,0.32,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2014,353.0,0.44,0.34,Accrual Risk,122.7,Capital Intensive,0.88,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2015,332.0,0.39,0.36,Accrual Risk,88.55,Capital Intensive,0.69,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2016,2166.0,0.51,0.4,Accrual Risk,216.81,Capital Intensive,5.05,+,+,-,Liquidating Assets
BAJAJHLDNG,Mar 2017,-1295.0,-0.37,0.24,Accrual Risk,44.18,Capital Intensive,-2.06,-,-,-,Pre-Revenue
BAJAJHLDNG,Mar 2018,508.0,0.61,0.32,Accrual Risk,267.38,Capital Intensive,1.43,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2019,465.0,0.21,0.27,Accrual Risk,37.82,Capital Intensive,1.34,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2020,1120.0,0.62,0.32,Accrual Risk,183.91,Capital Intensive,3.72,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2021,-36.0,0.07,0.23,Accrual Risk,67.4,Capital Intensive,-0.1,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2022,1459.0,0.39,0.38,Accrual Risk,31.2,Capital Intensive,3.98,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2023,1591.0,0.35,0.33,Accrual Risk,26.25,Capital Intensive,4.19,+,-,-,Reinvestor
BAJAJHLDNG,Mar 2024,1469.0,0.26,0.34,Accrual Risk,27.73,Capital Intensive,0.94,+,-,-,Reinvestor
BAJFINANCE,Mar 2015,-7424.0,-7.87,-7.87,Accrual Risk,6.68,Moderate,-4.24,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2016,-10557.0,-7.72,-7.79,Accrual Risk,9.41,Capital Intensive,-4.48,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2017,-13486.0,-5.69,-7.09,Accrual Risk,30.56,Capital Intensive,-4.15,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2018,-19491.0,-8.24,-7.38,Accrual Risk,8.43,Capital Intensive,-4.74,-,+,+,Distress Signal
BAJFINANCE,Mar 2019,-34441.0,-7.27,-7.36,Accrual Risk,29.1,Capital Intensive,-6.31,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2020,-33170.0,-4.64,-6.71,Accrual Risk,33.21,Capital Intensive,-3.62,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2021,-1236.0,-0.18,-5.2,Accrual Risk,1.61,Asset Light,-0.11,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2022,-30743.0,-5.28,-5.12,Accrual Risk,20.06,Capital Intensive,-2.59,-,+,+,Distress Signal
BAJFINANCE,Mar 2023,-52506.0,-3.66,-4.21,Accrual Risk,25.1,Capital Intensive,-4.14,-,-,+,Growth Funded by Debt
BAJFINANCE,Mar 2024,-79931.0,-5.03,-3.76,Accrual Risk,13.04,Capital Intensive,-4.96,-,-,+,Growth Funded by Debt
BANKBARODA,Mar 2013,22682.0,4.8,4.8,High,1.41,Asset Light,2.07,+,-,-,Shareholder Returns
BANKBARODA,Mar 2014,41503.0,8.39,6.6,High,1.8,Asset Light,3.44,+,-,+,Mixed
BANKBARODA,Mar 2015,17282.0,4.52,5.9,High,1.24,Asset Light,1.28,+,-,-,Shareholder Returns
BANKBARODA,Mar 2016,-14016.0,,5.9,High,8.74,Capital Intensive,-0.55,-,-,-,Pre-Revenue
BANKBARODA,Mar 2017,17314.0,9.63,6.83,High,1.24,Asset Light,0.9,+,-,-,Shareholder Returns
BANKBARODA,Mar 2018,-60106.0,,7.51,High,0.9,Asset Light,-2.3,-,-,+,Growth Funded by Debt
BANKBARODA,Mar 2019,-3986.0,-1.24,4.3,High,4.8,Moderate,-0.15,-,-,+,Growth Funded by Debt
BANKBARODA,Mar 2020,18392.0,18.89,9.09,High,0.18,Asset Light,0.45,+,-,+,Mixed
BANKBARODA,Mar 2021,-1358.0,-0.55,6.68,High,0.63,Asset Light,-0.04,-,-,-,Pre-Revenue
BANKBARODA,Mar 2022,2565.0,0.78,4.47,High,4.97,Moderate,0.07,+,-,-,Shareholder Returns
BANKBARODA,Mar 2023,-22450.0,-1.42,3.29,High,1.16,Asset Light,-0.59,-,-,-,Pre-Revenue
BANKBARODA,Mar 2024,-7559.0,-0.33,3.47,High,1.09,Asset Light,-0.17,-,-,+,Growth Funded by Debt
BEL,Mar 2013,214.0,-1.69,-1.69,Accrual Risk,27.95,Capital Intensive,0.32,-,+,-,Distress Signal
BEL,Mar 2014,190.0,-0.6,-1.15,Accrual Risk,11.64,Capital Intensive,0.21,-,+,-,Distress Signal
BEL,Mar 2015,595.0,1.2,-0.36,Accrual Risk,11.83,Capital Intensive,0.5,+,-,-,Reinvestor
BEL,Mar 2016,790.0,1.69,0.15,Accrual Risk,19.99,Capital Intensive,0.57,+,-,-,Reinvestor
BEL,Mar 2017,3054.0,-0.04,0.11,Accrual Risk,35.99,Capital Intensive,1.7,-,+,-,Distress Signal
BEL,Mar 2018,-693.0,-0.48,0.35,Accrual Risk,0.06,Asset Light,-0.34,-,-,-,Pre-Revenue
BEL,Mar 2019,618.0,0.8,0.63,Moderate,7.37,Moderate,0.21,+,-,-,Reinvestor
BEL,Mar 2020,1921.0,1.41,0.68,Moderate,5.0,Moderate,0.7,+,-,-,Reinvestor
BEL,Mar 2021,2498.0,2.43,0.82,Moderate,18.39,Capital Intensive,0.78,+,-,-,Reinvestor
BEL,Mar 2022,-665.0,1.75,1.18,High,31.7,Capital Intensive,-0.2,+,-,-,Shareholder Returns
BEL,Mar 2023,3907.0,0.4,1.36,High,15.27,Capital Intensive,0.96,+,+,-,Liquidating Assets
BEL,Mar 2024,-1265.0,1.17,1.43,High,29.23,Capital Intensive,-0.25,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2013,3932.0,9.97,9.97,High,24.27,Capital Intensive,0.17,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2014,1052.0,8.69,9.33,High,29.33,Capital Intensive,0.04,+,-,+,Mixed
BHARTIARTL,Mar 2015,5758.0,5.56,8.07,High,23.21,Capital Intensive,0.17,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2016,13851.0,4.05,7.07,High,14.6,Capital Intensive,0.41,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2017,-2400.0,6.67,6.99,High,32.14,Capital Intensive,-0.07,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2018,1914.0,13.67,7.73,High,33.81,Capital Intensive,0.06,+,-,+,Mixed
BHARTIARTL,Mar 2019,-8216.0,11.89,8.37,High,35.02,Capital Intensive,-0.32,+,-,+,Mixed
BHARTIARTL,Mar 2020,-11469.0,,9.07,High,33.81,Capital Intensive,-0.31,+,-,+,Mixed
BHARTIARTL,Mar 2021,20919.0,,10.74,High,27.12,Capital Intensive,0.46,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2022,13539.0,6.62,10.73,High,35.59,Capital Intensive,0.24,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2023,26093.0,5.32,7.94,High,28.2,Capital Intensive,0.37,+,-,-,Shareholder Returns
BHARTIARTL,Mar 2024,27809.0,9.22,7.05,High,34.06,Capital Intensive,0.36,+,-,-,Shareholder Returns
BHEL,Mar 2013,646.0,0.26,0.26,Accrual Risk,2.28,Asset Light,0.07,+,-,+,Mixed
BHEL,Mar 2014,3644.0,1.29,0.78,Moderate,2.19,Asset Light,0.8,+,-,+,Mixed
BHEL,Mar 2015,1471.0,0.57,0.71,Moderate,2.08,Asset Light,0.69,+,+,-,Liquidating Assets
BHEL,Mar 2016,397.0,,0.71,Moderate,0.09,Asset Light,,+,+,-,Liquidating Assets
BHEL,Mar 2017,-5.0,1.23,0.84,Moderate,1.98,Asset Light,-0.0,+,-,-,Reinvestor
BHEL,Mar 2018,1950.0,2.26,1.34,High,3.33,Moderate,1.18,+,+,-,Liquidating Assets
BHEL,Mar 2019,-1941.0,-3.85,0.05,Accrual Risk,6.3,Moderate,-0.96,-,+,-,Distress Signal
BHEL,Mar 2020,-1015.0,,-0.12,Accrual Risk,8.75,Capital Intensive,,-,+,+,Distress Signal
BHEL,Mar 2021,518.0,,-0.12,Accrual Risk,0.24,Asset Light,,+,-,-,Reinvestor
BHEL,Mar 2022,-458.0,1.48,-0.04,Accrual Risk,5.27,Moderate,-0.55,+,-,-,Reinvestor
BHEL,Mar 2023,739.0,-1.13,-1.17,Accrual Risk,6.33,Moderate,0.71,-,+,+,Distress Signal
BHEL,Mar 2024,-2382.0,-13.17,-4.27,Accrual Risk,5.57,Moderate,-3.35,-,+,+,Distress Signal
BOSCHLTD,Dec 2012,47.0,0.91,0.91,Moderate,9.52,Capital Intensive,0.03,+,-,-,Reinvestor
BOSCHLTD,Dec 2013,211.0,1.19,1.05,High,9.66,Capital Intensive,0.16,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2015,213.0,1.04,1.05,High,9.79,Capital Intensive,0.11,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2016,323.0,0.86,1.0,Moderate,10.26,Capital Intensive,0.17,+,-,-,Reinvestor
BOSCHLTD,Mar 2017,2703.0,0.84,0.97,Moderate,11.94,Capital Intensive,1.38,+,+,-,Liquidating Assets
BOSCHLTD,Mar 2018,559.0,1.26,1.04,High,10.01,Capital Intensive,0.27,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2019,2359.0,0.37,0.87,Moderate,14.61,Capital Intensive,1.1,+,+,-,Liquidating Assets
BOSCHLTD,Mar 2020,463.0,2.06,1.08,High,8.87,Capital Intensive,0.31,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2021,372.0,1.73,1.25,High,4.76,Moderate,0.32,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2022,238.0,0.22,1.13,High,0.28,Asset Light,0.16,+,-,-,Shareholder Returns
BOSCHLTD,Mar 2023,1476.0,0.85,1.05,High,1.75,Asset Light,0.82,+,+,-,Liquidating Assets
BOSCHLTD,Mar 2024,1536.0,0.5,1.07,High,1.69,Asset Light,0.73,+,+,-,Liquidating Assets
BPCL,Mar 2013,2322.0,3.06,3.06,High,1.49,Asset Light,0.35,+,-,-,Shareholder Returns
BPCL,Mar 2014,2707.0,2.37,2.71,High,2.6,Asset Light,0.29,+,-,-,Shareholder Returns
BPCL,Mar 2015,10206.0,4.08,3.17,High,4.34,Moderate,1.04,+,-,-,Shareholder Returns
BPCL,Mar 2016,1886.0,1.37,2.72,High,4.92,Moderate,0.15,+,-,-,Shareholder Returns
